Number;Text;Confidence;Transcript;Milis
75;The lease ran out in sixteen weeks.;0.748;the lease ran out in sixteen weeks.;2591
76;A tame squirrel makes a nice pet.;0.464;a tame squirrel makes a nice path.;3939
77;The horn of the car woke the sleeping cop.;0.732;the horn of the car walked the sleeping call.;3457
78;The heart beat strongly and with firm strokes.;0.827;the heart beats strongly and with firm strokes.;3104
79;The pearl was worn in a thin silver ring.;0.526;deferral was worn in Athens silver ring.;2846
80;The fruit peel was cut in thick slices.;0.673;the fruits appeal was cut and thick slices.;3128
81;The Navy attacked the big task force.;0.905;the navy attacked the big task force.;2386
82;See the cat glaring at the scared mouse.;0.578;CD cath glaring at this character miles.;3346
83;There are more than two factors here.;0.933;there are more than two factors here.;2009
84;The hat brim was wide and too droopy.;0.266;the head sprint was white into droopy.;3273
85;The lawyer tried to lose his case.;0.685;the lawyer try to lose this case.;2538
86;The grass curled around the fence post.;0.709;the cross curl around the fence post.;2249
87;Cut the pie into large parts.;0.71;cut the fine to large parts.;2917
88;Men strive but seldom get rich.;0.681;men's try but seldom get rich.;3954
89;Always close the barn door tight.;0.8;always close the barn door to fight.;2533
90;He lay prone and hardly moved a limb.;0.56;leave prone and hardly moved to live.;3959
91;Oak is strong and also gives shade.;0.696;okay strong and also give shade.;2115
92;Cats and dogs each hate the other.;0.663;cats and dogs HAT on their.;2463
93;The pipe began to rust while new.;0.584;the fight began to rest while Neil.;2791
94;Open the crate but don't brake the glass.;0.368;to create the don't break the cloths.;4209
95;Add the sum to the product of these three.;0.743;that's the sum to the product of these three.;3761
96;Thieves who rob friends deserve jail.;0.475;feast who wrote friends deserve Jill.;4586
97;The ripe taste of cheese improves with age.;0.833;the right taste of cheese improves with age.;3673
98;Act on these orders with great speed.;0.908;act on these orders with great speed.;2289
99;The dog crawled under the high fence.;0.588;the talk crawls under the high fence.;3340
100;Move the vat over the hot fire.;0.612;move to fax over to hold fire.;3665
